NPI,Speciality,Region,Usage Time (mins),Count of Survey Attempts,Hour,Target
1000000000,Cardiology,Northeast,19,3,0,0
1000000000,Cardiology,Northeast,19,3,1,0
1000000000,Cardiology,Northeast,19,3,2,0
1000000000,Cardiology,Northeast,19,3,3,0
1000000000,Cardiology,Northeast,19,3,4,0
1000000000,Cardiology,Northeast,19,3,5,0
1000000000,Cardiology,Northeast,19,3,6,1
1000000000,Cardiology,Northeast,19,3,7,0
1000000000,Cardiology,Northeast,19,3,8,0
1000000000,Cardiology,Northeast,19,3,9,0
1000000000,Cardiology,Northeast,19,3,10,0
1000000000,Cardiology,Northeast,19,3,11,0
1000000000,Cardiology,Northeast,19,3,12,0
1000000000,Cardiology,Northeast,19,3,13,0
1000000000,Cardiology,Northeast,19,3,14,0
1000000000,Cardiology,Northeast,19,3,15,0
1000000000,Cardiology,Northeast,19,3,16,0
1000000000,Cardiology,Northeast,19,3,17,0
1000000000,Cardiology,Northeast,19,3,18,0
1000000000,Cardiology,Northeast,19,3,19,0
1000000000,Cardiology,Northeast,19,3,20,0
1000000000,Cardiology,Northeast,19,3,21,0
1000000000,Cardiology,Northeast,19,3,22,0
1000000000,Cardiology,Northeast,19,3,23,0
1000000001,Oncology,Midwest,42,5,0,0
1000000001,Oncology,Midwest,42,5,1,0
1000000001,Oncology,Midwest,42,5,2,0
1000000001,Oncology,Midwest,42,5,3,0
1000000001,Oncology,Midwest,42,5,4,0
1000000001,Oncology,Midwest,42,5,5,0
1000000001,Oncology,Midwest,42,5,6,0
1000000001,Oncology,Midwest,42,5,7,0
1000000001,Oncology,Midwest,42,5,8,0
1000000001,Oncology,Midwest,42,5,9,0
1000000001,Oncology,Midwest,42,5,10,0
1000000001,Oncology,Midwest,42,5,11,0
1000000001,Oncology,Midwest,42,5,12,1
1000000001,Oncology,Midwest,42,5,13,0
1000000001,Oncology,Midwest,42,5,14,0
1000000001,Oncology,Midwest,42,5,15,0
1000000001,Oncology,Midwest,42,5,16,0
1000000001,Oncology,Midwest,42,5,17,0
1000000001,Oncology,Midwest,42,5,18,0
1000000001,Oncology,Midwest,42,5,19,0
1000000001,Oncology,Midwest,42,5,20,0
1000000001,Oncology,Midwest,42,5,21,0
1000000001,Oncology,Midwest,42,5,22,0
1000000001,Oncology,Midwest,42,5,23,0
1000000002,Oncology,West,26,8,0,0
1000000002,Oncology,West,26,8,1,0
1000000002,Oncology,West,26,8,2,0
1000000002,Oncology,West,26,8,3,0
1000000002,Oncology,West,26,8,4,0
1000000002,Oncology,West,26,8,5,0
1000000002,Oncology,West,26,8,6,0
1000000002,Oncology,West,26,8,7,0
1000000002,Oncology,West,26,8,8,0
1000000002,Oncology,West,26,8,9,0
1000000002,Oncology,West,26,8,10,0
1000000002,Oncology,West,26,8,11,0
1000000002,Oncology,West,26,8,12,0
1000000002,Oncology,West,26,8,13,0
1000000002,Oncology,West,26,8,14,0
1000000002,Oncology,West,26,8,15,1
1000000002,Oncology,West,26,8,16,0
1000000002,Oncology,West,26,8,17,0
1000000002,Oncology,West,26,8,18,0
1000000002,Oncology,West,26,8,19,0
1000000002,Oncology,West,26,8,20,0
1000000002,Oncology,West,26,8,21,0
1000000002,Oncology,West,26,8,22,0
1000000002,Oncology,West,26,8,23,0
1000000003,Orthopedics,Northeast,79,9,0,0
1000000003,Orthopedics,Northeast,79,9,1,0
1000000003,Orthopedics,Northeast,79,9,2,0
1000000003,Orthopedics,Northeast,79,9,3,0
1000000003,Orthopedics,Northeast,79,9,4,0
1000000003,Orthopedics,Northeast,79,9,5,0
1000000003,Orthopedics,Northeast,79,9,6,0
1000000003,Orthopedics,Northeast,79,9,7,0
1000000003,Orthopedics,Northeast,79,9,8,0
1000000003,Orthopedics,Northeast,79,9,9,0
1000000003,Orthopedics,Northeast,79,9,10,0
1000000003,Orthopedics,Northeast,79,9,11,0
1000000003,Orthopedics,Northeast,79,9,12,0
1000000003,Orthopedics,Northeast,79,9,13,0
1000000003,Orthopedics,Northeast,79,9,14,1
1000000003,Orthopedics,Northeast,79,9,15,1
1000000003,Orthopedics,Northeast,79,9,16,0
1000000003,Orthopedics,Northeast,79,9,17,0
1000000003,Orthopedics,Northeast,79,9,18,0
1000000003,Orthopedics,Northeast,79,9,19,0
1000000003,Orthopedics,Northeast,79,9,20,0
1000000003,Orthopedics,Northeast,79,9,21,0
1000000003,Orthopedics,Northeast,79,9,22,0
1000000003,Orthopedics,Northeast,79,9,23,0
1000000004,Oncology,West,98,0,0,0
1000000004,Oncology,West,98,0,1,0
1000000004,Oncology,West,98,0,2,0
1000000004,Oncology,West,98,0,3,0
1000000004,Oncology,West,98,0,4,0
1000000004,Oncology,West,98,0,5,0
1000000004,Oncology,West,98,0,6,0
1000000004,Oncology,West,98,0,7,0
1000000004,Oncology,West,98,0,8,0
1000000004,Oncology,West,98,0,9,0
1000000004,Oncology,West,98,0,10,0
1000000004,Oncology,West,98,0,11,0
1000000004,Oncology,West,98,0,12,0
1000000004,Oncology,West,98,0,13,0
1000000004,Oncology,West,98,0,14,0
1000000004,Oncology,West,98,0,15,1
1000000004,Oncology,West,98,0,16,1
1000000004,Oncology,West,98,0,17,0
1000000004,Oncology,West,98,0,18,0
1000000004,Oncology,West,98,0,19,0
1000000004,Oncology,West,98,0,20,0
1000000004,Oncology,West,98,0,21,0
1000000004,Oncology,West,98,0,22,0
1000000004,Oncology,West,98,0,23,0
1000000005,Orthopedics,Midwest,116,10,0,0
1000000005,Orthopedics,Midwest,116,10,1,0
